Timestamp,Source IP,Destination Port,Protocol,Bytes Transferred,IOT Devices,Response Time,Status
2024-08-06 17:46:54,115.217.153.184,44399,ICMP,10728,smart bulb system,194,timeout
2024-02-24 00:11:12,122.67.201.157,46232,TCP,80674,smart bulb system,340,success
2024-01-16 00:55:27,236.252.140.120,31044,TCP,8804,alexa,104,success
2024-06-03 22:59:08,165.152.43.194,44430,ICMP,25647,smart vaccums,259,timeout
2024-01-05 17:01:37,200.56.195.177,17000,TCP,70773,smart bulb system,346,failure
2024-07-22 18:26:38,104.13.32.184,19909,UDP,18602,smart bulb system,102,success
2024-04-13 18:58:32,183.230.120.81,12805,UDP,1689,smart camera system,100,timeout
2024-07-22 15:29:01,41.169.4.148,24108,TCP,33976,smart vaccums,43,timeout
2024-05-03 17:30:38,67.11.138.179,35461,ICMP,10771,smart bulb system,246,timeout
2024-01-16 08:04:44,93.39.110.179,9384,ICMP,94364,alexa,431,failure
2024-04-19 10:51:02,36.206.82.36,12134,ICMP,80552,smart vaccums,301,timeout
2024-07-19 16:11:04,144.78.141.97,29252,UDP,10691,smart camera system,463,failure
2024-06-25 14:54:06,95.166.196.20,20848,TCP,7265,smart bulb system,277,failure
2024-06-01 20:26:45,177.74.160.71,8550,UDP,46515,smart vaccums,207,failure
2024-03-22 18:25:01,11.181.53.40,25032,UDP,99461,smart vaccums,461,success
2024-06-28 12:47:11,186.9.249.224,41545,TCP,67554,smart vaccums,229,success
2024-04-07 00:03:14,41.249.254.104,50434,TCP,28685,smart camera system,199,failure
2024-06-19 23:11:58,196.16.202.67,14617,TCP,14210,smart camera system,399,success
2024-04-11 07:33:31,172.186.63.165,13667,UDP,33044,alexa,167,success
2024-03-17 22:01:34,87.187.213.221,8545,TCP,15527,smart bulb system,352,timeout
2024-01-31 22:50:42,81.242.188.222,34020,TCP,98290,smart vaccums,427,timeout
2024-05-05 02:28:56,17.141.120.155,14133,UDP,22163,smart bulb system,348,failure
2024-04-02 19:31:35,32.160.3.118,30005,UDP,9825,smart camera system,223,failure
2024-03-02 03:28:51,19.79.20.35,9095,TCP,63836,smart camera system,295,failure
2024-08-07 21:33:39,99.134.236.244,55970,TCP,69082,smart bulb system,13,failure
2024-07-27 17:04:18,229.22.104.125,42923,TCP,55162,alexa,281,failure
2024-08-02 10:22:10,5.57.151.19,13409,TCP,40526,smart bulb system,119,timeout
2024-07-16 19:20:55,65.158.212.91,5404,ICMP,46920,smart bulb system,14,success
2024-08-05 17:47:54,70.226.18.160,39821,UDP,41864,smart bulb system,445,failure
2024-05-23 17:52:01,116.105.148.91,12976,UDP,76524,alexa,214,success
2024-07-31 20:41:46,191.116.146.156,32940,ICMP,43278,smart camera system,246,success
2024-05-28 05:34:00,173.105.113.248,25056,ICMP,57090,smart bulb system,406,failure
2024-02-17 18:48:28,11.67.149.150,49415,TCP,50641,smart camera system,99,success
2024-01-22 09:21:33,113.229.236.44,19341,ICMP,17511,smart bulb system,50,success
2024-03-18 11:41:08,111.165.159.199,46286,TCP,98953,smart vaccums,228,success
2024-06-09 04:12:56,247.163.2.221,38003,UDP,97863,smart vaccums,220,timeout
2024-03-23 15:05:35,220.57.38.65,28704,UDP,37578,smart bulb system,475,failure
2024-07-03 16:34:16,42.180.89.209,12646,ICMP,93246,smart camera system,431,success
2024-01-19 21:52:58,76.99.227.192,59642,TCP,85193,smart camera system,404,success
2024-05-10 11:44:58,133.2.202.52,4153,TCP,22917,alexa,160,success
2024-01-06 07:35:15,81.185.16.236,22303,ICMP,98548,alexa,298,success
2024-04-14 21:16:03,66.218.179.221,56268,UDP,25263,alexa,193,timeout
2024-05-20 19:07:29,105.118.200.135,5511,ICMP,31789,smart bulb system,298,timeout
2024-01-20 01:35:52,206.58.208.149,22366,UDP,42862,smart vaccums,485,success
2024-07-05 01:05:54,197.177.253.110,63250,ICMP,39511,smart camera system,421,timeout
2024-05-14 13:19:13,140.160.184.14,54120,TCP,17029,smart camera system,286,success
2024-04-27 13:42:53,85.217.187.67,14601,UDP,7693,smart vaccums,65,timeout
2024-04-17 08:30:26,192.79.46.186,19571,ICMP,14110,alexa,129,timeout
2024-04-11 03:18:09,156.208.179.76,40245,ICMP,90132,smart camera system,6,success
2024-04-01 14:56:56,132.63.57.74,48314,UDP,32754,smart vaccums,318,failure
2024-02-19 15:43:51,101.26.101.183,64765,ICMP,64817,smart bulb system,195,timeout
2024-07-19 11:46:43,44.224.232.4,26198,TCP,78035,alexa,432,success
2024-01-13 00:51:50,249.209.33.222,21989,TCP,64264,alexa,284,success
2024-07-04 16:04:46,128.145.14.166,15021,ICMP,13834,smart bulb system,343,success
2024-06-03 20:55:41,213.234.81.77,1184,ICMP,23792,smart vaccums,317,timeout
2024-03-15 02:33:52,149.117.61.31,64009,TCP,6825,smart vaccums,289,timeout
2024-04-17 12:03:45,90.208.150.81,55812,ICMP,9429,alexa,483,success
2024-03-16 23:06:10,212.179.15.86,59674,ICMP,55192,smart vaccums,471,failure
2024-07-30 20:05:12,136.101.227.16,26886,UDP,85404,smart vaccums,290,success
2024-05-27 13:39:41,24.91.119.143,4542,ICMP,24206,alexa,373,failure
2024-07-14 19:08:19,249.200.123.66,47646,UDP,22060,smart bulb system,278,timeout
2024-01-20 03:39:58,34.40.52.221,48251,UDP,36630,smart camera system,161,timeout
2024-06-30 08:27:22,175.104.34.54,64798,ICMP,22763,smart bulb system,147,success
2024-02-02 16:52:15,37.27.142.173,22221,TCP,15796,smart vaccums,367,success
2024-07-20 13:32:38,51.186.235.136,22272,UDP,25535,smart camera system,147,failure
2024-02-25 03:23:04,236.190.90.177,62927,ICMP,39322,smart camera system,407,timeout
2024-04-27 19:46:53,119.118.185.120,60493,ICMP,25139,alexa,3,timeout
2024-04-12 20:32:15,68.35.199.164,21157,ICMP,11027,alexa,99,timeout
2024-06-08 06:49:58,67.62.210.112,7188,ICMP,84140,alexa,367,success
2024-07-25 12:38:03,124.117.147.81,47359,UDP,89496,smart bulb system,108,failure
2024-04-25 06:41:23,194.57.96.49,17397,ICMP,38958,smart bulb system,467,timeout
2024-03-03 03:17:21,216.131.102.85,6936,UDP,14467,smart bulb system,351,failure
2024-05-02 08:34:42,69.186.95.7,60622,TCP,73944,alexa,352,failure
2024-02-15 09:41:29,62.30.10.74,65022,ICMP,66793,smart vaccums,277,timeout
2024-07-02 00:08:17,227.81.104.241,9745,TCP,38353,smart camera system,314,timeout
2024-02-17 00:10:07,45.131.213.54,23022,TCP,84102,smart vaccums,163,success
2024-01-17 20:35:57,225.236.180.23,11686,ICMP,36463,smart camera system,33,failure
2024-01-29 19:17:58,225.136.155.160,14780,TCP,65383,smart camera system,174,success
2024-06-07 12:10:20,253.18.245.90,52059,UDP,27351,alexa,428,timeout
2024-04-01 21:34:23,130.129.223.239,58456,ICMP,66586,smart bulb system,72,success
2024-05-04 01:07:58,233.12.173.49,20439,TCP,97267,smart camera system,116,timeout
2024-03-11 21:50:58,239.12.121.29,3008,ICMP,682,smart bulb system,467,failure
2024-06-29 16:45:46,238.204.173.172,52288,TCP,11223,smart vaccums,220,success
2024-02-26 03:19:21,44.100.94.252,53316,ICMP,97834,smart vaccums,407,timeout
2024-03-25 02:42:46,30.123.185.53,48104,TCP,43541,alexa,148,failure
2024-07-03 04:43:06,30.140.119.222,10507,TCP,64280,smart camera system,252,success
2024-05-12 00:38:54,90.162.6.191,8696,UDP,97506,smart camera system,276,failure
2024-04-10 18:24:46,184.3.150.57,22063,ICMP,9712,alexa,161,success
2024-04-05 22:35:56,2.206.12.32,28524,TCP,18336,alexa,316,success
2024-05-26 18:37:36,8.43.115.224,19223,UDP,68648,alexa,279,success
2024-03-30 20:16:26,171.13.144.161,18065,ICMP,21232,smart camera system,265,failure
2024-03-04 21:00:03,51.128.198.179,58515,ICMP,85253,smart vaccums,419,success
2024-03-20 16:34:08,49.174.245.27,51596,UDP,90820,smart camera system,322,failure
2024-05-23 05:11:43,183.166.204.120,21380,ICMP,59832,alexa,474,failure
2024-07-25 02:47:18,0.176.255.128,56443,UDP,50093,smart camera system,84,success
2024-06-18 10:22:22,71.190.221.114,35270,TCP,33793,smart bulb system,60,timeout
2024-02-05 11:58:34,232.134.223.185,49829,TCP,98195,smart vaccums,220,success
2024-07-21 06:39:40,186.219.61.181,57053,ICMP,76834,alexa,55,timeout
2024-06-25 13:26:36,226.106.57.13,7093,UDP,68098,smart camera system,52,success
2024-05-04 06:49:41,60.184.78.88,42890,TCP,15560,smart bulb system,451,failure
2024-01-02 04:52:57,231.93.109.245,43385,TCP,5171,smart camera system,316,success
2024-01-11 16:38:19,133.95.103.215,57132,UDP,77913,smart camera system,149,failure
2024-01-01 04:10:39,32.200.72.23,12517,TCP,15958,smart camera system,83,success
2024-08-15 16:13:20,107.4.88.0,24142,ICMP,2058,smart bulb system,396,success
2024-06-08 16:47:05,60.44.19.213,42126,ICMP,16494,alexa,103,success
2024-08-02 12:59:43,16.194.242.251,39396,UDP,67611,smart bulb system,240,success
2024-03-12 09:58:59,141.113.122.186,24579,TCP,76434,alexa,148,failure
2024-01-22 10:53:38,120.119.89.59,8745,UDP,35014,smart vaccums,404,failure
2024-03-24 23:42:21,57.116.214.188,49482,TCP,708,smart camera system,179,timeout
2024-02-17 07:57:46,192.169.173.31,57530,ICMP,91680,smart bulb system,223,success
2024-08-13 02:43:52,223.60.144.46,47260,TCP,10606,smart camera system,272,failure
2024-06-04 02:53:11,167.10.11.199,5864,ICMP,8708,smart camera system,59,failure
2024-05-16 20:50:24,136.180.245.169,34973,TCP,31231,smart vaccums,462,timeout
2024-06-12 05:18:12,162.90.166.225,5083,UDP,90241,smart vaccums,144,timeout
2024-01-24 00:38:53,116.187.198.104,48365,UDP,66041,smart camera system,490,failure
2024-02-22 05:49:40,61.181.39.7,38790,TCP,92303,smart bulb system,373,timeout
2024-07-11 02:30:14,160.188.226.233,51765,UDP,90071,smart camera system,289,failure
2024-06-19 16:54:04,57.161.253.159,49475,TCP,7076,smart bulb system,302,failure
2024-08-06 09:28:50,2.41.210.164,16053,ICMP,75642,alexa,281,success
2024-01-10 07:04:09,241.154.22.101,7786,ICMP,81012,alexa,470,failure
2024-04-25 17:37:45,136.211.62.223,54790,ICMP,93494,alexa,476,timeout
2024-03-05 19:16:55,130.70.211.218,4792,UDP,30214,smart bulb system,444,success
2024-02-22 20:43:53,155.200.183.189,62015,UDP,58583,smart bulb system,155,success
2024-01-02 19:55:47,21.80.198.252,35693,UDP,50872,smart vaccums,291,failure
2024-03-28 15:04:13,192.212.252.160,19867,ICMP,16944,smart bulb system,66,timeout
2024-03-09 19:45:57,191.94.36.32,39143,TCP,88971,smart camera system,13,timeout
2024-02-23 14:02:50,70.194.39.64,29645,ICMP,60289,smart camera system,189,timeout
2024-01-07 04:14:21,228.85.160.161,17318,ICMP,219,smart bulb system,371,timeout
2024-03-23 18:50:11,13.244.138.73,21831,UDP,76495,smart vaccums,127,failure
2024-06-08 16:24:09,250.46.66.0,53708,TCP,57280,alexa,440,failure
2024-07-15 18:20:50,187.160.128.232,64816,ICMP,87980,smart vaccums,85,failure
2024-07-08 10:01:42,235.9.71.247,48598,TCP,63314,smart vaccums,184,failure
2024-02-18 20:51:57,252.27.192.130,52577,TCP,99720,alexa,244,success
2024-05-13 23:45:44,54.129.117.68,41300,UDP,72686,smart vaccums,127,timeout
2024-02-23 04:59:01,253.140.128.208,31928,UDP,70931,alexa,466,failure
2024-08-17 06:51:22,169.59.199.119,13606,TCP,60994,smart camera system,194,success
2024-06-29 17:01:28,148.83.191.171,29907,TCP,42531,smart camera system,168,timeout
2024-06-20 08:20:03,123.34.168.5,22569,UDP,92847,smart camera system,19,failure
2024-04-27 18:48:11,159.211.139.29,12596,ICMP,32368,smart camera system,128,failure
2024-08-02 19:48:33,170.179.152.85,62544,UDP,38631,smart vaccums,330,success
2024-08-04 15:44:30,177.158.34.61,17540,UDP,80101,smart bulb system,298,failure
2024-01-03 06:39:00,62.1.9.117,58026,UDP,10687,smart camera system,400,failure
2024-05-05 12:07:02,177.123.102.158,1115,UDP,96829,smart vaccums,83,success
2024-04-29 09:48:57,120.129.32.174,10979,ICMP,46652,smart camera system,322,success
2024-04-27 15:40:48,128.170.110.212,33639,TCP,85719,smart camera system,389,failure
2024-08-08 18:51:44,99.118.58.246,4268,UDP,60182,smart bulb system,475,failure
2024-03-01 23:45:03,116.73.11.185,28406,TCP,97859,smart vaccums,99,success
2024-05-27 08:33:04,112.231.83.51,46436,UDP,35360,smart bulb system,82,failure
2024-02-22 13:49:30,148.110.220.149,23499,UDP,57660,smart bulb system,141,success
2024-03-06 13:55:49,14.38.64.124,38642,TCP,81605,smart camera system,358,timeout
2024-06-26 22:09:05,225.51.173.138,29612,TCP,8191,alexa,143,success
2024-02-29 10:28:05,226.7.149.114,40634,ICMP,24538,smart vaccums,462,success
2024-01-11 12:15:26,77.30.217.163,10569,UDP,56841,alexa,110,timeout
2024-04-10 06:39:30,240.242.149.38,10874,ICMP,14093,alexa,73,success
2024-07-12 08:14:21,53.95.158.226,6987,ICMP,28537,alexa,108,timeout
2024-04-17 04:25:22,16.175.75.93,29910,UDP,33151,smart bulb system,47,failure
2024-03-17 08:50:11,232.231.118.236,27776,ICMP,94317,smart vaccums,487,success
2024-06-23 04:16:04,230.63.163.74,63850,ICMP,15678,smart vaccums,231,success
2024-05-05 22:51:39,184.241.85.101,28031,ICMP,11060,smart bulb system,375,failure
2024-04-15 10:51:13,253.233.155.245,33054,TCP,538,smart camera system,403,success
2024-07-28 01:24:27,41.187.104.18,15948,ICMP,31167,alexa,440,timeout
2024-01-14 20:01:21,38.63.110.239,22273,UDP,19582,smart vaccums,249,failure
2024-07-13 17:42:22,15.223.141.193,38184,UDP,10386,smart bulb system,471,success
2024-03-27 11:58:35,197.253.157.3,57134,ICMP,11897,smart bulb system,86,timeout
2024-03-11 22:07:13,51.101.5.36,37806,ICMP,57843,smart bulb system,494,timeout
2024-01-06 04:20:25,105.40.135.63,54963,ICMP,13997,smart bulb system,88,success
2024-05-15 17:59:49,34.40.33.146,19560,UDP,62695,alexa,41,failure
2024-03-05 04:38:41,129.218.160.134,55352,TCP,4946,alexa,66,failure
2024-04-16 11:56:00,218.236.222.168,11542,UDP,94011,smart vaccums,274,success
2024-05-29 11:01:23,161.143.196.88,3964,UDP,96106,smart bulb system,253,failure
2024-02-07 06:18:58,169.186.110.26,30684,UDP,4459,smart camera system,366,failure
2024-06-29 06:26:25,114.224.77.156,41174,TCP,37304,smart bulb system,497,failure
2024-08-03 06:58:07,93.136.210.253,22056,UDP,70675,smart vaccums,221,timeout
2024-01-10 21:59:51,32.246.51.86,32294,UDP,29950,smart vaccums,288,success
2024-05-21 17:52:00,169.22.11.188,38720,ICMP,98445,alexa,374,timeout
2024-08-10 17:53:52,31.152.113.51,4984,ICMP,66372,smart bulb system,22,success
2024-06-25 01:32:18,157.106.29.114,47449,ICMP,4481,smart camera system,366,success
2024-08-04 17:26:24,95.5.237.249,22234,TCP,30699,smart camera system,382,timeout
2024-04-23 23:28:25,24.119.241.97,31560,UDP,72553,alexa,101,timeout
2024-06-10 07:45:15,190.100.145.220,20265,ICMP,86929,smart bulb system,471,timeout
2024-02-02 16:36:53,125.17.170.208,1475,TCP,99404,smart bulb system,359,failure
2024-06-28 01:16:02,44.53.228.60,19553,ICMP,42347,smart bulb system,454,timeout
2024-03-10 12:05:15,5.192.70.243,45886,UDP,88243,smart vaccums,33,timeout
2024-06-05 20:31:13,109.110.229.177,40576,TCP,90204,alexa,292,timeout
2024-01-11 00:57:33,93.166.159.241,25132,TCP,2009,smart vaccums,491,failure
2024-07-17 01:54:17,91.50.222.166,48672,TCP,42843,smart bulb system,7,timeout
2024-08-03 02:32:49,197.39.15.80,50178,UDP,34596,smart vaccums,163,failure
2024-08-03 04:15:31,69.177.86.40,51936,TCP,99440,alexa,371,timeout
2024-03-27 07:36:49,194.144.210.198,17530,TCP,68981,smart vaccums,251,failure
2024-05-20 08:32:49,55.42.166.3,57975,ICMP,53771,alexa,420,timeout
2024-06-24 15:05:57,138.91.181.115,64844,ICMP,4878,alexa,31,timeout
2024-07-04 05:13:20,113.107.74.172,16202,ICMP,7433,smart camera system,350,failure
2024-06-01 03:15:44,222.36.133.47,51203,UDP,90279,smart camera system,21,timeout
2024-01-22 11:12:37,45.93.7.124,20183,UDP,78186,smart bulb system,15,timeout
2024-07-30 02:00:47,6.108.229.201,9809,TCP,34656,smart vaccums,422,timeout
2024-07-21 02:55:17,111.67.162.167,44082,UDP,20237,smart camera system,20,failure
2024-01-27 22:31:19,96.120.88.191,61885,TCP,96862,smart vaccums,203,timeout
2024-01-19 00:24:53,218.229.214.38,33538,UDP,64141,smart camera system,289,timeout
2024-03-07 20:39:52,94.224.240.228,25663,UDP,51384,smart vaccums,329,success
2024-06-16 00:16:02,245.30.67.51,29672,UDP,14928,smart vaccums,96,failure
2024-05-11 15:25:18,3.192.63.176,55731,ICMP,92757,smart bulb system,404,success
2024-01-13 23:39:03,129.12.206.92,7485,TCP,88677,smart vaccums,287,failure
2024-07-11 15:57:06,174.160.183.1,4386,ICMP,78215,alexa,155,success
2024-07-24 12:25:41,136.251.168.133,13845,TCP,84888,smart vaccums,424,success
2024-02-08 04:58:11,161.150.109.108,29360,ICMP,55499,smart camera system,240,success
2024-01-31 18:15:27,227.167.13.119,14816,TCP,76084,smart camera system,277,success
2024-02-24 03:38:26,4.132.52.186,49390,ICMP,36329,alexa,430,timeout
2024-03-04 02:31:27,57.191.197.209,46127,ICMP,75510,smart vaccums,372,timeout
2024-02-22 02:13:10,192.224.8.36,65052,UDP,60947,smart bulb system,458,timeout
2024-02-22 03:44:13,241.176.254.144,59672,UDP,23798,smart camera system,436,success
2024-02-08 01:34:50,111.153.69.87,42083,UDP,37739,smart bulb system,400,failure
2024-05-06 06:16:31,83.194.68.10,10653,ICMP,81089,alexa,260,failure
2024-02-12 13:28:11,30.178.233.83,54848,TCP,6813,smart camera system,55,success
2024-03-17 08:25:38,105.96.73.133,42253,ICMP,81634,smart camera system,207,success
2024-03-16 04:07:28,106.68.75.98,26510,UDP,93051,smart vaccums,11,success
2024-01-19 04:55:47,255.215.158.97,47549,ICMP,94106,smart bulb system,54,timeout
2024-01-10 00:25:49,94.134.148.71,22310,UDP,70072,smart vaccums,19,timeout
2024-08-10 01:19:38,89.99.81.163,34145,UDP,35616,smart bulb system,56,failure
2024-04-20 00:06:42,70.214.41.103,2352,TCP,80403,smart bulb system,478,failure
2024-06-18 07:25:52,94.90.210.87,1802,ICMP,39154,smart bulb system,497,failure
2024-04-17 22:07:21,34.15.73.48,55410,ICMP,45549,smart vaccums,165,timeout
2024-08-11 22:16:02,50.229.46.38,47462,ICMP,27700,smart bulb system,306,failure
2024-03-28 06:01:18,66.59.169.93,6959,ICMP,25552,smart bulb system,297,failure
2024-03-05 00:04:05,174.30.48.71,64391,UDP,902,smart camera system,374,success
2024-04-04 00:33:05,225.27.5.99,60536,UDP,91858,smart bulb system,140,timeout
2024-06-10 01:10:46,217.206.10.32,57486,ICMP,13848,smart vaccums,269,success
2024-02-17 12:01:45,184.241.76.23,57823,UDP,30748,smart camera system,247,success
2024-05-22 22:36:41,180.132.98.56,19802,ICMP,770,smart camera system,252,success
2024-07-25 05:51:56,71.191.102.14,21585,UDP,84059,alexa,19,failure
2024-06-28 07:52:55,40.235.214.158,48326,TCP,13340,smart vaccums,152,success
2024-01-18 10:16:01,207.240.235.118,28829,TCP,25243,smart camera system,499,failure
2024-04-10 08:15:12,240.1.229.140,56263,ICMP,2375,alexa,129,failure
2024-04-06 10:10:51,86.150.17.66,47214,ICMP,70878,smart bulb system,440,failure
2024-03-26 09:42:27,193.47.42.210,33433,UDP,13645,smart vaccums,435,timeout
2024-07-27 04:42:16,159.37.104.127,10440,TCP,91528,smart camera system,390,failure
2024-01-23 15:21:18,239.114.140.120,1641,ICMP,43474,smart bulb system,440,failure
2024-05-19 22:09:58,127.243.101.44,54716,TCP,33527,alexa,281,failure
2024-02-23 23:34:50,165.99.36.147,5828,TCP,31334,smart bulb system,265,timeout
2024-05-23 02:16:14,35.243.205.140,2687,ICMP,54840,smart camera system,89,failure
2024-07-03 04:08:44,158.197.139.34,23568,ICMP,93365,smart bulb system,69,success
2024-04-27 06:36:21,113.215.74.38,45741,UDP,14658,smart bulb system,174,timeout
2024-06-16 08:34:41,177.166.114.95,7553,ICMP,32909,smart bulb system,284,success
2024-05-02 19:46:11,220.64.44.162,57362,UDP,80101,alexa,83,timeout
2024-05-26 11:48:01,68.209.193.77,22618,UDP,7210,smart bulb system,171,failure
2024-08-07 16:59:56,156.97.64.81,41684,TCP,54061,smart camera system,330,timeout
2024-02-04 21:22:19,193.246.168.226,13136,TCP,47201,smart bulb system,118,success
2024-02-03 16:18:25,211.154.136.20,36088,TCP,37798,smart camera system,155,timeout
2024-04-07 14:04:03,189.48.83.152,62819,UDP,27139,alexa,213,failure
2024-04-20 06:11:50,17.196.63.171,42333,UDP,26366,smart camera system,306,success
2024-01-09 05:18:26,170.208.0.176,28883,UDP,82897,smart camera system,78,timeout
2024-05-23 08:20:56,205.69.197.137,65307,ICMP,27955,smart bulb system,444,timeout
2024-01-30 08:02:34,64.57.29.46,32192,TCP,21110,smart camera system,52,timeout
2024-03-11 16:01:57,86.184.231.29,20613,UDP,25923,alexa,32,success
2024-01-29 17:50:59,208.61.32.60,30057,TCP,5762,alexa,442,failure
2024-03-12 20:20:56,2.182.46.50,10298,UDP,43155,smart bulb system,271,success
2024-03-07 01:12:41,200.170.108.156,63783,TCP,56564,smart camera system,270,failure
2024-04-04 11:11:02,137.253.23.78,63536,TCP,71089,smart bulb system,250,failure
2024-06-06 02:34:04,76.154.114.145,34822,ICMP,73239,alexa,161,failure
2024-02-13 11:22:08,70.162.33.92,36572,TCP,94558,smart vaccums,187,timeout
2024-01-11 16:05:21,42.53.246.249,46226,UDP,9122,smart bulb system,309,timeout
2024-05-27 18:06:41,55.220.246.191,49696,TCP,59773,smart vaccums,362,success
2024-05-14 03:28:59,96.5.190.205,18705,ICMP,62969,smart vaccums,63,timeout
2024-06-12 01:08:29,163.126.170.189,1104,TCP,885,smart vaccums,155,success
2024-07-25 22:58:25,123.239.145.103,24005,ICMP,30895,smart camera system,268,timeout
2024-06-19 20:05:49,132.7.94.95,41774,UDP,53731,smart vaccums,454,timeout
2024-04-03 19:20:31,245.210.177.165,51399,ICMP,82265,alexa,190,timeout
2024-08-03 10:03:15,107.19.60.198,59963,UDP,69094,smart bulb system,110,timeout
2024-04-09 08:43:21,47.74.36.97,16301,ICMP,45528,smart bulb system,298,failure
2024-04-04 08:38:00,157.62.43.131,24159,UDP,16609,smart camera system,156,success
2024-06-29 22:14:25,228.9.198.166,12054,TCP,50916,alexa,207,failure
2024-03-30 08:20:09,89.2.112.228,27788,UDP,38333,smart bulb system,193,timeout
2024-03-11 21:56:30,138.35.78.141,7335,UDP,22800,smart bulb system,296,success
2024-03-08 07:45:40,0.9.181.165,18214,TCP,37013,smart bulb system,159,failure
